1,Samsung Galaxy Tab S7 Wifi T870 (6GB/128GB),Tablet,https://salt.tikicdn.com/cache/400x400/ts/product/9c/91/65/f55856310b1cc602ac0870c25b64f30f.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",14989000,5
2,iPad Mini 5 Wi-Fi 64GB,Tablet,https://salt.tikicdn.com/cache/400x400/ts/product/2e/6b/37/66abbe3a06a1691b212a4e61186cac1d.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",9796900,4.5
3,Samsung Galaxy Z Flip 3 (256GB),Smart Phone,https://salt.tikicdn.com/cache/400x400/ts/product/4e/3f/b8/8c78945a915c68fae79522e00e51263d.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",26574500,3.5
4,SamsungGalaxy Z Fold2 5G (12GB/256GB),Smart Phone,https://salt.tikicdn.com/cache/400x400/ts/product/4d/b3/f1/60d6c7e4338f874ab0cd26de640af276.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",32743000,5
5,iPhone 13 256GB,Smart Phone,https://salt.tikicdn.com/cache/400x400/ts/product/6b/f1/44/894cfbc05096688061fb11ce3bf7e012.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",24990000,5
6,Laptop LG Gram 2021 16Z90P-G.AH73A5 (Core i7-1165G7/ 16GB LPDDR4X/ 256GB SSD NVMe/ 16 WQXGA IPS/ Win10),Laptop,https://salt.tikicdn.com/cache/400x400/ts/product/12/09/64/6ae69be48e3773cc97790b0c200ae47e.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",48900000,4.5
7,Dell Ultrasharp U2422H 23.8 inch FHD USB TypeC,Monitor,https://salt.tikicdn.com/cache/w1200/ts/product/46/86/07/3a93a4ba3b3f6094956a2bd486abfb93.png,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",6700000,4.5
8,Bluetooth AKKO 3068 V2 2021,keyboard,https://salt.tikicdn.com/cache/400x400/ts/product/09/88/5d/d054703a9d5c00823144a9a66124181d.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",1999000,4
9,Keychron K2,keyboard,https://salt.tikicdn.com/cache/400x400/ts/product/1e/d4/ce/f7c1e766c455d9a70db7e5d5badd273e.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",1690000,5
10,Logitech M331 Silent,Mouse,https://salt.tikicdn.com/cache/400x400/media/catalog/product/m/3/m331_0.u2470.d20161215.t105738.98013.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",324000,4.5
11,Bluetooth Silent Logitech Pebble M350,Mouse,https://salt.tikicdn.com/cache/400x400/ts/product/49/e5/13/1110afc2aa8dee12fa7ffaff924334fc.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",490000,5
12,Logitech M590 Slient,Mouse,https://salt.tikicdn.com/cache/400x400/media/catalog/product/1/_/1.u5552.d20170918.t085933.92667_1.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",594000,5
13,Samsung LC27F397FHEXXV 27inch FullHD 4ms 60Hz FreeSync VA,Monitor,https://salt.tikicdn.com/cache/400x400/ts/product/0a/5e/23/9a7a3dc645c2e9c4f1714adee6d89baf.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",4990000,5
14,Dell S2721HN 27inch FHD (1920x1080) 4ms 75Hx IPS 300nits/HDMI+Audio/AMD FreeSync,Monitor,https://salt.tikicdn.com/cache/400x400/ts/product/c4/28/b7/97574fd96b2578c7c14ca5c001f32f95.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",5550000,5
15,"Samsung 34"" LS34J550WQEXXV LED",Monitor,https://salt.tikicdn.com/cache/400x400/ts/product/9a/55/0f/01d3e2cd20383d895c58166baef724f5.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",9990000,4.5
16,Samsung Galaxy A03s LTE (4GB/64GB),Smart Phone,https://salt.tikicdn.com/cache/400x400/ts/product/11/38/1e/39f747d2af4973d6ef6a7ba78786949c.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",3499000,3.5
17,Samsung Galaxy A03s,Smart Phone,https://salt.tikicdn.com/cache/400x400/ts/product/bc/52/05/d73565d00423ad2517862b690f09a37b.jpg.webp,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",3390000,5
18,Samsung Galaxy Tab S7 FE LTE T735 (4GB/64GB),Tablet,https://salt.tikicdn.com/cache/w1200/ts/product/20/36/53/2637edb01d9017e1eaa49150075acaf6.jpg,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",10990000,5
19,Samsung Galaxy Note 20 Ultra (8GB/256GB),Smart Phone,https://salt.tikicdn.com/cache/w1200/ts/product/64/20/d5/8505ae6ae987f1a78ff365bbfb32bf80.png,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",24135000,5
